Priority,bike_id,rideable_type,cluster_name,health_score,health_category,total_trips,total_distance_km,complaint_count,avg_user_rating,days_since_service,is_anomaly
1,CLASSIC_0531,classic_bike,🔴 Extreme Usage,0.6716937999851703,🔴 Critical,12061,34326.95,330,3.9898232458489558,164,True
2,CLASSIC_1464,classic_bike,🔴 Extreme Usage,0.615705206017889,🔴 Critical,7476,21137.16,189,4.043898156277437,105,True
3,CLASSIC_1054,classic_bike,🟠 Heavy Usage,0.5739312278465598,🔴 Critical,3273,9082.93,84,4.051724137931035,146,True
4,CLASSIC_0532,classic_bike,🟠 Heavy Usage,0.5706189777337045,🔴 Critical,2338,6748.3,54,4.005305039787799,155,True
5,EBIKE_2810,electric_bike,🟠 Heavy Usage,0.5656687190769613,🔴 Critical,1712,4122.49,45,3.9473684210526314,179,True
6,CLASSIC_1664,classic_bike,🟠 Heavy Usage,0.5636967041054395,🔴 Critical,1276,3504.4799999999996,38,4.015544041450777,179,True
7,EBIKE_1034,electric_bike,🔴 Extreme Usage,0.5603931682902603,🔴 Critical,9108,21499.15,230,4.0172537742631205,46,True
8,EBIKE_0046,electric_bike,🟠 Heavy Usage,0.5530962726426101,🔴 Critical,3142,7369.870000000001,82,3.9826254826254828,128,True
9,CLASSIC_0847,classic_bike,🟠 Heavy Usage,0.5267817121359932,🟡 Warning,2420,6748.759999999999,68,3.9916897506925206,93,True
10,CLASSIC_0718,classic_bike,🟢 Light Usage,0.5216951708198216,🟡 Warning,57,149.29000000000042,5,3.0,173,True
11,EBIKE_2968,electric_bike,🟠 Heavy Usage,0.5193202545047604,🟡 Warning,1261,2963.27,30,4.090909090909091,154,True
12,CLASSIC_1088,classic_bike,🟠 Heavy Usage,0.5146109423469244,🟡 Warning,1272,3647.5700000000006,39,4.038461538461538,118,True
13,CLASSIC_0705,classic_bike,🟠 Heavy Usage,0.508728820352471,🟡 Warning,1184,3350.58,24,4.091891891891892,151,True
14,CLASSIC_1061,classic_bike,🟠 Heavy Usage,0.505063209393976,🟡 Warning,793,2235.87,27,4.008130081300813,135,True
15,EBIKE_0775,electric_bike,🟠 Heavy Usage,0.5039207683043707,🟡 Warning,1751,4097.9400000000005,47,4.044354838709677,131,True
16,EBIKE_0053,electric_bike,🟠 Heavy Usage,0.5007466619704078,🟡 Warning,1850,4309.389999999999,54,4.114285714285714,110,True
17,CLASSIC_1333,classic_bike,🟠 Heavy Usage,0.49962616846260954,🟡 Warning,2240,6396.999999999999,54,4.023880597014926,77,True
18,CLASSIC_0661,classic_bike,🟠 Heavy Usage,0.4969263746596126,🟡 Warning,944,2655.88,20,4.080536912751678,161,True
19,CLASSIC_1912,classic_bike,🟠 Heavy Usage,0.49682099167810584,🟡 Warning,2172,6271.55,54,4.102564102564102,70,True
20,CLASSIC_0960,classic_bike,🟢 Light Usage,0.49643376154594115,🟡 Warning,55,167.21,5,4.0,174,True
21,CLASSIC_1308,classic_bike,🟡 Moderate Usage,0.49554449779833576,🟡 Warning,76,203.99,6,4.583333333333333,179,True
22,CLASSIC_0637,classic_bike,🟡 Moderate Usage,0.4939227067856769,🟡 Warning,54,139.22999999999996,4,3.4285714285714284,170,False
23,CLASSIC_0670,classic_bike,🟢 Light Usage,0.49366006223505515,🟡 Warning,47,149.5,4,4.0,172,True
24,EBIKE_0916,electric_bike,🟠 Heavy Usage,0.49315138837316447,🟡 Warning,1273,3164.84,32,4.010526315789473,171,True
25,CLASSIC_0261,classic_bike,🟠 Heavy Usage,0.4923397698170838,🟡 Warning,1079,3076.5299999999997,28,4.109677419354838,135,True
26,EBIKE_1591,electric_bike,🟠 Heavy Usage,0.4910517472598833,🟡 Warning,1285,2992.26,48,4.099547511312217,148,True
27,CLASSIC_1954,classic_bike,🟠 Heavy Usage,0.4901572624439169,🟡 Warning,3832,10806.16,91,4.008992805755396,47,True
28,EBIKE_2988,electric_bike,🟡 Moderate Usage,0.4891569741484717,🟡 Warning,79,172.95000000000005,6,3.769230769230769,179,False
29,CLASSIC_1826,classic_bike,🟡 Moderate Usage,0.4871214295096957,🟡 Warning,41,92.88000000000005,4,3.5714285714285716,90,True
30,CLASSIC_0475,classic_bike,🟠 Heavy Usage,0.4869959499982479,🟡 Warning,1338,3807.8599999999997,43,4.0504587155963305,79,True
31,EBIKE_2485,electric_bike,🟠 Heavy Usage,0.4866604970987386,🟡 Warning,1682,3924.67,46,4.023715415019763,99,True
32,CLASSIC_1600,classic_bike,🟢 Light Usage,0.4851866890315735,🟡 Warning,67,215.60000000000002,8,3.5714285714285716,134,False
33,EBIKE_0424,electric_bike,🟠 Heavy Usage,0.4850657094407093,🟡 Warning,1620,3770.4999999999995,45,4.1,101,True
34,CLASSIC_1715,classic_bike,🟠 Heavy Usage,0.4801295528371783,🟡 Warning,1803,5124.99,40,3.927536231884058,77,True
35,CLASSIC_1727,classic_bike,🟠 Heavy Usage,0.4793125716903474,🟡 Warning,2387,6772.570000000001,75,3.9862637362637363,24,True
36,EBIKE_2244,electric_bike,🟠 Heavy Usage,0.47812587621000824,🟡 Warning,1086,2679.0499999999997,28,4.012820512820513,178,True
37,CLASSIC_1209,classic_bike,🟠 Heavy Usage,0.4781086165424336,🟡 Warning,2529,7167.7300000000005,60,4.038363171355499,44,True
38,EBIKE_1833,electric_bike,🟠 Heavy Usage,0.47721602657721357,🟡 Warning,1397,3474.6899999999996,36,4.009433962264151,111,True
